title,price,url
"Park Avenue Marcus Body Fragrance, 150ml (Pack of 2)",299,https://www.amazon.in/Park-Avenue-Marcus-Fragrance-150ml/dp/B07BZSN7RN?ref_=ast_sto_dp&th=1&psc=1
"Park Avenue Harmony – Eau De Parfum Men, 100ml | Perfume for...",299,https://www.amazon.in/Park-Avenue-Perfume-Harmony-100ml/dp/B07845CN2K?ref_=ast_sto_dp
"Park Avenue Euphoria – Eau De Parfum Men, 100ml | Perfume for...",299,https://www.amazon.in/Park-Avenue-Perfume-Euphoria-100ml/dp/B07845BYSZ?ref_=ast_sto_dp
"Park Avenue Eau De Perfume, Harmony, 50ml",350,https://www.amazon.in/Park-Avenue-Perfume-Harmony-50ml/dp/B077P5L1TZ?ref_=ast_sto_dp
"Park Avenue Voyage Obsession Eau De Liquid Parfum For Men, 50 ml",199,https://www.amazon.in/Park-Avenue-Voyage-Obsession-Parfum/dp/B084ZGRVX7?ref_=ast_sto_dp&th=1&psc=1
"Park Avenue Mens Perfume | Founder | Eau De Parfum, 100 Ml...",600,https://www.amazon.in/Park-Avenue-Founder-Premium-Perfume/dp/B0BBGZSFKJ?ref_=ast_sto_dp
"Park Avenue Men Perfume | Discoverer | Eau De Parfum, 100...",600,https://www.amazon.in/Park-Avenue-Discoverer-Premium-Perfume/dp/B0BBGZMB6Z?ref_=ast_sto_dp
"Park Avenue Men's Perfume | Livewire | Eau De Parfum, 100 Ml...",600,https://www.amazon.in/Park-Avenue-Livewire-Premium-Perfume/dp/B0BBH3HYC8?ref_=ast_sto_dp
"Park Avenue Men's Perfume | Dynamo | Eau De Parfum, 100 Ml...",540,https://www.amazon.in/Park-Avenue-Premium-Perfume-Lasting/dp/B0BBH1PS7R?ref_=ast_sto_dp
Park Avenue Luxury Grooming Collection 8 in-1 Combo...,351,https://www.amazon.in/Park-Avenue-Luxury-Grooming-Collection/dp/B00G23S4YS?ref_=ast_sto_dp
Park Avenue Good Morning Grooming Collection 7 in-1...,281,https://www.amazon.in/Park-Avenue-Good-Morning-Grooming/dp/B07YY7YPLT?ref_=ast_sto_dp
Park Avenue Essential Grooming Collection 7 in-1 Combo...,345,https://www.amazon.in/Park-Avenue-Essential-Grooming-kit/dp/B00G23S3S0?ref_=ast_sto_dp
"Park Avenue City Detox Perfect 10 Face Wash, Purifies and...",,https://www.amazon.in/Park-Avenue-Perfect-Purifies-Nourishes/dp/B08JDHSKMS?ref_=ast_sto_dp
"Park Avenue City Detox Neem + Clay Face Wash, Clears Oil and...",,https://www.amazon.in/Park-Avenue-Clears-Refreshes-Mineral/dp/B08JDNKLHT?ref_=ast_sto_dp
